userScreen_name	userLexiconScore	avg_isRT	avg_nUsers	avg_nLinks	avg_nHashtags	avg_nEmoticons	avg_nAllCap	avg_nEnlongatedW	avg_tweetLength	avg_wordLength	avg_nSingularP
0chuy8	21.0501513198	0.247154471545	0.458536585366	0.0666666666667	0.0373983739837	0.0	0.154471544715	0.00325203252033	4.0	4.33596160439	0.183739837398
1221ellaine	20.7723598315	0.227906976744	0.666666666667	0.154651162791	0.347674418605	0.0767441860465	0.343023255814	0.0147286821705	7.0	4.39376045151	0.0313953488372
1nsp1r3d_0n3	18.5080483616	0.40274742429	0.355604121136	0.128004995317	0.0874180455823	0.0012488292226	0.453949422416	0.039338120512	7.0	4.73175805629	0.201998126756
1STLADYLEFLORE	25.2994640001	0.0	0.487804878049	0.0	1.29268292683	0.0	7.24390243902	0.0487804878049	16.0	4.15442278861	0.243902439024
2pretty_killa	23.8530883804	0.261811023622	0.218503937008	0.0374015748031	0.0413385826772	0.00393700787402	0.0413385826772	0.0157480314961	5.0	4.24963072378	0.259842519685
432Heppell	25.6743724153	0.1	0.9	0.2	1.2	0.1	0.1	0.0	6.0	5.02941176471	0.0
4eKidrauhl	18.8601313563	0.30868878357	0.419589257504	0.457503949447	0.250552922591	0.0110584518167	1.35387045814	0.0451816745656	6.0	4.60365973312	0.201895734597
5andrealovesyou	14.0461400371	0.166409385613	0.871256560667	0.102809509108	0.104661932695	0.0117320160543	0.541216424822	0.0632911392405	8.0	4.34720198193	0.474529175672
5e3e26ad31bc4a1	26.0132335733	0.030482641829	0.970364098222	0.114309906859	0.07366638442	0.000846740050804	0.676545300593	0.0499576629975	13.0	4.59742248309	0.169348010161
6lunt	17.9967568451	0.240676903792	0.28016295832	0.151363209025	0.0382325289878	0.00282043246631	0.192102789094	0.0250705108117	5.0	4.31044847902	0.262300219367
93mcnarry	17.1338000314	0.649237472767	0.52380952381	0.0	0.386243386243	0.0348583877996	1.44039838157	0.0398381574852	8.0	4.52275614678	0.125116713352
aaamce	16.0884070464	0.0331412103746	0.739193083573	0.115273775216	0.0936599423631	0.0028818443804	0.92939481268	0.231988472622	6.0	4.57532438971	0.200288184438
aahjdan	12.2807871473	0.242216687422	0.345267745953	0.0230386052304	0.00902864259029	0.000311332503113	0.136674968867	0.101494396015	6.0	4.18325118094	0.389476961395
aarjhb	21.5569667304	0.262974683544	0.154113924051	0.279430379747	0.400632911392	0.00949367088608	0.254746835443	0.00822784810127	7.0	4.38570498209	0.145886075949
aashtinn	23.242750483	0.016199376947	0.34953271028	0.134267912773	0.0691588785047	0.0	0.489719626168	0.0738317757009	11.0	4.33510401602	0.372274143302
abbie_vigil	10.9097860812	0.333919156415	0.11072056239	0.263620386643	0.0843585237258	0.00351493848858	0.163444639719	0.0105448154657	7.0	4.17583179298	0.318101933216
abbygford14	15.7702020108	0.493097913323	0.45264847512	0.251685393258	0.0670947030498	0.00192616372392	0.321027287319	0.0372391653291	4.0	4.39886660854	0.0664526484751
abeleDamoves14	23.1279626709	0.112385321101	0.206422018349	0.190366972477	0.0711009174312	0.100917431193	0.550458715596	0.121559633028	7.0	3.9163008487	0.160550458716
ActionSlav	17.7304724645	0.190789473684	0.52380952381	0.0949248120301	0.0770676691729	0.00281954887218	1.15131578947	0.0266290726817	8.0	4.36192825275	0.332080200501
actlikeuIoveme	10.7346678398	0.109972041007	0.484311898105	0.0214352283318	0.0456663560112	0.00621310966139	0.356011183597	0.00621310966139	7.0	4.376556462	0.486486486486
AdawiyahSpoqqy	17.426726756	0.421811344406	0.0673769978063	0.263553744908	0.0868066436854	0.00971482293952	0.36540269508	0.113130680038	9.0	4.15805531604	0.128172986525
adoreshands	13.0482632166	0.33707165109	0.444236760125	0.0218068535826	0.0264797507788	0.00716510903427	0.460747663551	0.0367601246106	6.0	4.2757330326	0.348598130841
adrianathani	22.8955401796	0.263174209547	0.674829510229	0.296962182269	0.271543707378	0.0257284562926	0.40545567266	0.042777433354	9.0	4.24786459981	0.263484190949
Afiqo98	25.2999616945	0.652879414572	0.470887686923	0.600699968183	0.425707922367	0.00827235125676	0.486159720013	0.0260897231944	7.0	4.5920837984	0.141266306077
Africana_Barbie	14.7883315069	0.535952063915	0.124167776298	0.247003994674	0.0962050599201	0.000998668442077	0.314247669774	0.0416111850866	9.0	4.4466842439	0.339214380826
Afruzsharifi	13.6522360446	0.290869155946	0.429243802949	0.218073423282	0.076561029181	0.00125509883903	0.297458424851	0.018198933166	5.0	4.6074632616	0.211484154377
agentdunett	16.9877682604	0.109243697479	0.190787426082	0.149704326175	0.0597572362278	0.00653594771242	1.30438842204	0.0217864923747	8.0	4.3080878572	0.361344537815
agibsonnx	11.2645681687	0.306779131521	0.332708528585	0.122149328335	0.0243673851921	0.000312402374258	0.0621680724774	0.0331146516714	5.0	4.4998817128	0.262417994377
AhaaBoss	19.5386702791	0.373737373737	0.386363636364	0.14898989899	0.0782828282828	0.0	0.328282828283	0.166666666667	8.0	3.91917002168	0.179292929293
AHem_23	15.1229519124	0.425665101721	0.37558685446	0.202816901408	0.169640062598	0.00156494522692	0.500469483568	0.0219092331768	6.0	4.49497129961	0.151486697966
