word	counts	topic_cluster
due	67	3
ripped	67	3
primrose	66	3
primrose_hill	66	3
stadium	1152	4
west	1112	4
ham	961	4
west_ham	960	4
chelsea	796	4
cup	379	4
efl	375	4
efl_cup	368	4
united	273	4
twickenham	262	4
#job	254	4
ham_chelsea	236	4
police	233	4
twickenham_stadium	231	4
inside	202	4
clash	197	4
tie	175	4
senior	170	4
game	167	4
ham_united	155	4
inside_stadium	154	4
first	139	4
#jobs	130	4
nfl	130	4
security	120	4
time	118	4
fans	117	4
new	113	4
audit_senior	112	4
audit	112	4
hammers	109	4
police_inside	107	4
game_twickenham	107	4
ham_police	104	4
rivals	104	4
please	101	4
go2	100	4
go2_page	100	4
#job_alert	100	4
jobs	100	4
please_go2	100	4
alert	100	4
jobs_please	100	4
page	100	4
biggest	100	4
alert_#jobs	98	4
first_time	96	4
prepares	96	4
stadium_first	96	4
news	94	4
nfl_prepares	94	4
cup_tie	93	4
chelsea_efl	93	4
sunderland	91	4
clash_stadium	89	4
rivals_chelsea	88	4
job	88	4
antonio	84	4
cup_west	82	4
time_rivals	82	4
prepares_game	78	4
tottenham	78	4
trouble	78	4
bus	78	4
challenge	74	4
#cfc	73	4
biggest_challenge	72	4
faced	72	4
hammers_faced	72	4
take	72	4
challenge_hammers	72	4
chelsea_biggest	72	4
faced_stadium	71	4
bridge	70	4
held	70	4
end	69	4
despite	69	4
fraud	69	4
chelsea_fans	67	4
home	66	4
cup_clash	62	4
business	62	4
chelsea_stadium	61	4
held_back	61	4
back_west	61	4
back	61	4
fans_held	61	4
ham_clash	60	4
crowd	59	4
#whufc	59	4
ahead	59	4
crowd_trouble	58	4
united_kingdom	58	4
kingdom	58	4
ham_sunderland	58	4
west_end	57	4
trouble_chelsea	57	4
avoid	57	4
added	56	4
stadium_despite	55	4
bed	1401	5
flat	920	5
rightmove	776	5
bed_flat	764	5
road	604	5
zoopla	497	5
flat_zoopla	422	5
flat_rightmove	365	5
house	309	5
street	305	5
apartment	266	5
apartment_rightmove	262	5
bed_apartment	255	5
park	171	5
kensington	170	5
bedroom	140	5
bedroom_flat	129	5
bath	127	5
#hammersmith_bed	127	5
#hammersmith	127	5
house_rightmove	123	5
camberwell	120	5
rec	119	5
bed_bath	117	5
high	111	5
bath_rec	109	5
escorts	108	5
lane	104	5
road_#hammersmith	101	5
gardens	99	5
se1	99	5
onthemarket	99	5
flat_onthemarket	90	5
wharf	90	5
terraced	87	5
terraced_house	87	5
court	85	5
bridge	84	5
bed_terraced	84	5
camberwell_road	79	5
hampstead	72	5
e14	71	5
square	69	5
avenue	65	5
chelsea	63	5
se5	60	5
park_lane	60	5
canary	59	5
west	59	5
hill	59	5
canary_wharf	59	5
green	58	5
escorts_park	54	5
class_escorts	54	5
class	54	5
high_class	54	5
lane_escorts	54	5
nw6	52	5
zoopla_camberwell	51	5
place	48	5
se10	48	5
south	48	5
high_street	46	5
house_zoopla	45	5
grove	44	5
bethnal	44	5
bethnal_green	44	5
greenwich	41	5
studio	40	5
victoria	40	5
wharf_e14	40	5
bed_studio	39	5
fees	39	5
apply	39	5
fees_apply	39	5
way	37	5
wimbledon	37	5
tower	37	5
oxford	37	5
bridge_road	37	5
westminster	37	5
camberwell_se5	36	5
west_hampstead	35	5
road_camberwell	35	5
chiswick	34	5
ealing	34	5
bed_house	33	5
oxford_street	32	5
rightmove_camberwell	32	5
terrace	31	5
wood	30	5
southwark	30	5
road_bethnal	30	5
greyhound	29	5
greyhound_road	29	5
close	29	5
hampstead_nw6	28	5
kensington_high	28	5
john's	27	5
apartments	27	5
theatre	963	6
museum	884	6
place	871	6
bridge	832	6
see	690	6
live	554	6
night	528	6
stadium	527	6
new	500	6
get	491	6
time	473	6
one	468	6
day	458	6
today	440	6
tickets	436	6
it's	425	6
square	418	6
last	417	6
like	417	6
show	410	6
eye	406	6
park	397	6
love	396	6
best	392	6
come	391	6
going	383	6
chelsea	369	6
history	361	6
first	345	6
week	337	6
great	334	6
tower	330	6
excel	320	6
october	307	6
november	306	6
next	294	6
back	289	6
natural	282	6
oct	280	6
natural_history	277	6
national	250	6
know	248	6
history_museum	247	6
view	242	6
victoria	240	6
@youtube	234	6
united	234	6
don't	233	6
brixton	230	6
tonight	225	6
got	222	6
can't	220	6
tomorrow	219	6
gallery	218	6
looking	216	6
video	215	6
good	215	6
trafalgar	214	6
british	211	6
trafalgar_square	208	6
nov	206	6
game	204	6
amazing	201	6
year	199	6
arena	195	6
visit	194	6
would	192	6
royal	190	6
world	189	6
big	189	6
hyde	188	6
hyde_park	185	6
festival	178	6
event	177	6
look	174	6
weekend	172	6
tour	172	6
olympia	169	6
exhibition	167	6
book	166	6
sunday	165	6
ever	165	6
hall	163	6
want	159	6
please	159	6
house	156	6
fashion	155	6
still	153	6
falling	152	6
review	152	6
take	150	6
palladium	150	6
free	150	6
people	146	6
i've	144	6
academy	143	6
wait	143	6
win	141	6
home	139	6
ticket	139	6
tube	1021	7
north	945	7
greenwich	941	7
north_greenwich	941	7
device	750	7
arrest	568	7
greenwich_tube	551	7
street	543	7
oxford	436	7
oxford_street	419	7
found	414	7
suspicious	397	7
train	386	7
explosion	355	7
controlled	354	7
controlled_explosion	353	7
item	332	7
suspicious_item	329	7
tube_device	327	7
arrest_north	323	7
tube_train	306	7
explosion_north	305	7
device_controlled	303	7
train_device	303	7
man	296	7
item_found	281	7
counter-terrorism	258	7
found_north	219	7
terror	219	7
tree	203	7
arrest_suspicious	202	7
terror_arrest	201	7
police	196	7
@c0nvey	182	7
counter-terrorism_arrest	180	7
station	179	7
terrorism	174	7
victoria	172	7
beckham	171	7
victoria_beckham	171	7
